Ticker,Name,NameAlt,Weighting
0700.HK,TENCENT,騰訊控股,10.38
0005.HK,HSBC HOLDINGS,滙豐控股,10.19
1299.HK,AIA,友邦保險,9.8
0939.HK,CCB,建設銀行,7.59
2318.HK,PING AN,中國平安,5.23
0941.HK,CHINA MOBILE,中國移動,4.63
1398.HK,ICBC,工商銀行,4.39
0388.HK,HKEX,香港交易所,3.26
3988.HK,BANK OF CHINA,中國銀行,3
0883.HK,CNOOC,中國海洋石油,2.66
0001.HK,CKH HOLDINGS,長和,2.26
0823.HK,LINK REIT,領展房產基金,1.96
0003.HK,HK & CHINA GAS,香港中華煤氣,1.75
0002.HK,CLP HOLDINGS,中電控股,1.7
1113.HK,CK ASSET,長實集團,1.69
2628.HK,CHINA LIFE,中國人壽,1.64
0011.HK,HANG SENG BANK,恒生銀行,1.59
0016.HK,SHK PPT,新鴻基地產,1.59
0386.HK,SINOPEC CORP,中國石油化工股份,1.56
2388.HK,BOC HONG KONG,中銀香港,1.32
0027.HK,GALAXY ENT,銀河娛樂,1.28
0688.HK,CHINA OVERSEAS,中國海外發展,1.12
0857.HK,PETROCHINA,中國石油股份,1.09
1928.HK,SANDS CHINA LTD,金沙中國有限公司,1.04
1109.HK,CHINA RES LAND,華潤置地,0.95
2007.HK,COUNTRY GARDEN,碧桂園,0.95
0175.HK,GEELY AUTO,吉利汽車,0.88
0669.HK,TECHTRONIC IND,創科實業,0.88
0066.HK,MTR CORPORATION,港鐵公司,0.87
0288.HK,WH GROUP,萬洲國際,0.82
0017.HK,NEW WORLD DEV,新世界發展,0.81
2313.HK,SHENZHOU INTL,申洲國際,0.79
2319.HK,MENGNIU DAIRY,蒙牛乳業,0.79
0006.HK,POWER ASSETS,電能實業,0.77
1997.HK,WHARF REIC,九龍倉置業,0.74
1093.HK,CSPC PHARMA,石藥集團,0.7
2382.HK,SUNNY OPTICAL,舜宇光學科技,0.7
0267.HK,CITIC,中信股份,0.68
0012.HK,HENDERSON LAND,恒基地產,0.66
1088.HK,CHINA SHENHUA,中國神華,0.61
0762.HK,CHINA UNICOM,中國聯通,0.59
3328.HK,BANKCOMM,交通銀行,0.59
1177.HK,SINO BIOPHARM,中國生物製藥,0.53
0019.HK,SWIRE PACIFIC A,太古股份公司Ａ,0.51
1044.HK,HENGAN INT'L,恒安國際,0.51
0083.HK,SINO LAND,信和置業,0.43
1038.HK,CKI HOLDINGS,長江基建集團,0.42
2018.HK,AAC TECH,瑞聲科技,0.39
0101.HK,HANG LUNG PPT,恒隆地產,0.38
0151.HK,WANT WANT CHINA,中國旺旺,0.35
